Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,34.439999,35.639999,33.570000,35.509998,32.761589,2674400
2017-11-01,35.759998,38.200001,33.980000,37.200001,34.320793,4156900
2017-12-01,37.250000,39.956001,36.060001,37.080002,34.210083,7049400
2018-01-01,37.340000,42.549000,37.247002,41.240002,38.539669,8727800
2018-02-01,40.689999,42.540001,36.360001,40.910000,38.231277,8614400
2018-03-01,41.000000,45.349998,37.930000,39.070000,36.511761,9098800
2018-04-01,38.730000,41.863998,37.200001,39.090000,36.530449,5483200
2018-05-01,39.029999,43.938999,38.570000,43.480000,40.632999,5336800
2018-06-01,43.840000,48.570000,43.570000,44.980000,42.034779,9552400
2018-07-01,44.779999,47.950001,43.509998,44.549999,41.632935,6615900
2018-08-01,44.650002,49.869999,44.349998,49.700001,46.445721,7169900
2018-09-01,49.430000,49.500000,46.180000,47.340000,44.240253,5289000
2018-10-01,48.349998,48.480000,39.389999,42.580002,39.791935,9737200
2018-11-01,43.180000,46.220001,39.889999,44.450001,41.539486,5897600
2018-12-01,46.000000,46.000000,34.750000,37.189999,34.754856,9025700
2019-01-01,36.270000,43.240002,35.910000,43.049999,41.523792,7700100
2019-02-01,43.009998,46.840000,42.125000,46.560001,44.909355,5947500
2019-03-01,46.849998,48.150002,43.380001,46.730000,45.073330,8062800
2019-04-01,47.320000,49.080002,46.412998,47.220001,45.545959,6967800
2019-05-01,47.500000,48.855000,40.674999,40.730000,39.286045,8555400
2019-06-01,40.730000,48.049999,39.880001,47.980000,46.279015,6329300
2019-07-01,48.759998,49.919998,47.080002,48.459999,46.742001,4442100
2019-08-01,48.459999,48.750000,42.650002,44.320000,42.748772,7047100
2019-09-01,43.950001,45.889999,42.279999,42.889999,41.369469,4650100
2019-10-01,43.139999,44.761002,40.119999,44.230000,42.661961,5345700
2019-11-01,44.599998,50.466000,44.403999,50.430000,48.642155,3780100
2019-12-01,50.320000,52.009998,48.130001,50.049999,48.275627,4145800
2020-01-01,50.639999,54.403999,49.430000,51.799999,50.148609,6520000
2020-02-01,52.310001,60.730000,49.599998,52.840000,51.155453,11803800
2020-03-01,53.549999,55.548000,33.000000,44.000000,42.597275,20516600
2020-04-01,42.419998,57.000000,39.410000,55.330002,53.566071,17514200
2020-05-01,53.820000,64.900002,51.529999,62.820000,60.817287,16278500
2020-06-01,63.360001,73.448997,60.611000,71.309998,69.036621,30429400
2020-07-01,71.470001,84.949997,71.330002,80.370003,77.807800,40116300
2020-08-01,81.309998,95.680000,81.199997,95.330002,92.290863,39460000
2020-09-01,96.449997,98.900002,81.330002,92.000000,89.067032,58989900
2020-10-01,93.389999,106.150002,89.949997,90.790001,87.895599,56731900
2020-11-01,91.970001,113.760002,89.389999,112.370003,108.787628,61456400
2020-12-01,114.000000,137.080002,109.599998,124.489998,120.521233,115840400
2021-01-01,126.220001,149.850006,122.440002,137.440002,135.187225,146036800
2021-02-01,139.979996,159.699997,126.070000,130.360001,128.223282,226506800
2021-03-01,134.539993,138.369995,106.250000,119.949997,117.983902,391715700
2021-04-01,122.959999,130.279999,116.540001,120.769997,118.790459,164342400
2021-05-01,121.209999,121.410004,97.220001,112.099998,110.262573,301702900
2021-06-01,112.849998,132.500000,107.389999,130.779999,128.636383,180910300
2021-07-01,130.750000,131.550003,113.269997,120.000000,118.033089,152440700
2021-08-01,120.540001,126.250000,113.540001,122.029999,120.029808,114982400
2021-09-01,122.500000,126.320000,109.599998,110.529999,108.718307,124522100
2021-10-01,111.019997,124.449997,106.349998,121.279999,119.292099,104403800
2021-11-01,121.930000,125.860001,103.580002,105.690002,103.957642,125425400
2021-12-01,106.750000,106.980003,89.029999,94.589996,93.039574,306971700
2022-01-01,96.000000,97.169998,64.349998,75.430000,74.806129,536694700
2022-02-01,76.690002,78.250000,57.500000,70.470001,69.887154,476176900
2022-03-01,70.199997,72.004997,51.849998,66.290001,65.741722,572553700
2022-04-01,66.764999,70.839996,45.889999,47.130001,46.740196,467024800
2022-05-01,47.000000,52.709999,35.099998,44.090000,43.725338,900637300
2022-06-01,44.180000,46.939999,35.650002,39.880001,39.550159,648937900
2022-07-01,40.369999,49.340000,39.840000,45.130001,44.756737,505026200
2022-08-01,44.490002,53.860001,41.180000,41.880001,41.533619,523941300
2022-09-01,41.160000,45.680000,37.090000,37.730000,37.417938,497364600
2022-10-01,38.000000,40.969002,33.740002,38.279999,37.963390,523912600
2022-11-01,39.470001,41.290001,32.509998,37.480000,37.170010,549044500
2022-12-01,37.700001,38.375000,29.430000,31.240000,30.981619,483292700
2023-01-01,31.840000,40.689999,30.020000,39.930000,39.599747,489062400
2023-02-01,40.099998,45.459999,38.049999,39.619999,39.292309,641328900
2023-03-01,39.459999,40.980000,34.810001,40.340000,40.006355,633294000
2023-04-01,39.779999,40.020000,34.970001,35.919998,35.622910,295763400
2023-05-01,35.759998,41.279999,34.720001,40.490002,40.155113,360923400
2023-06-01,40.150002,45.000000,39.810001,44.139999,43.774925,309570700
2023-07-01,44.520000,51.330002,42.749001,50.450001,50.032738,327108600
2023-08-01,49.810001,49.830002,39.320000,43.750000,43.388149,353936700
2023-09-01,44.110001,45.160000,38.134998,39.669998,39.341892,256699500
